age,experience_years,tech_count,primary_tech,education_level,expected_package_lpa
19,1,6,Java,Bachelors,9.03
30,12,4,Python,Masters,46.78
23,5,4,Python,Masters,15.97
33,15,1,Python,Masters,49.69
32,14,5,JavaScript,Bachelors,49.19
27,9,4,Python,Bachelors,26.71
22,4,3,Python,Masters,14.13
31,13,1,JavaScript,Masters,46.25
30,12,6,Java,Masters,47.81
27,9,1,JavaScript,Masters,26.06
25,7,2,JavaScript,Bachelors,22.76
24,6,2,JavaScript,Bachelors,20.95
33,15,10,JavaScript,Masters,56.54
27,9,2,Python,Bachelors,25.14
23,5,8,Java,Bachelors,18.01
28,10,7,Java,Bachelors,31.05
18,0,6,Java,Bachelors,8.5
18,0,3,JavaScript,Bachelors,5.63
22,4,5,Python,Bachelors,14.65
28,10,3,Java,Bachelors,27.61
20,2,9,Java,Bachelors,12.92
25,7,1,Java,Masters,23.58
24,6,9,Java,Bachelors,26.56
22,4,4,Python,Bachelors,13.95
26,8,9,Python,Bachelors,30.03
20,2,5,Python,Masters,10.98
20,2,8,JavaScript,Masters,13.41
26,8,3,Python,Masters,25.95
23,5,6,JavaScript,Masters,17.36
22,4,7,Python,Bachelors,15.99
25,7,5,JavaScript,Bachelors,24.44
27,9,2,JavaScript,Bachelors,24.93
21,3,5,JavaScript,Bachelors,12.57
26,8,1,Java,Bachelors,22.83
30,12,3,Python,Masters,46.39
25,7,10,Python,Bachelors,28.88
22,4,5,Python,Masters,15.98
27,9,8,JavaScript,Masters,31.87
32,14,7,Java,Bachelors,50.82
30,12,1,JavaScript,Bachelors,42.69
29,11,6,Python,Bachelors,45.3
19,1,5,Java,Bachelors,7.91
23,5,1,JavaScript,Masters,13.67
18,0,1,Python,Masters,6.01
27,9,7,Java,Masters,31.29
25,7,5,Python,Bachelors,24.72
26,8,6,Python,Bachelors,26.85
30,12,5,Java,Bachelors,45.82
30,12,5,JavaScript,Masters,47.17
28,10,9,Java,Masters,33.77
31,13,9,Python,Masters,52.25
31,13,6,Python,Bachelors,48.69
22,4,8,Python,Masters,17.9
25,7,6,Java,Bachelors,25.58
30,12,5,JavaScript,Masters,47.69
25,7,8,JavaScript,Masters,28.74
25,7,7,JavaScript,Masters,27.94
30,12,1,Java,Bachelors,42.78
18,0,1,Python,Bachelors,3.95
21,3,1,JavaScript,Masters,11.13
32,14,9,Python,Bachelors,52.8
26,8,6,Java,Masters,28.11
26,8,3,JavaScript,Bachelors,24.92
18,0,6,Java,Bachelors,7.63
32,14,1,JavaScript,Masters,47.93
18,0,8,JavaScript,Masters,11.15
18,0,6,Python,Bachelors,8.63
25,7,6,Java,Masters,27.14
20,2,3,Java,Bachelors,7.83
24,6,7,JavaScript,Bachelors,25.19
32,14,6,Java,Masters,51.76
22,4,4,Java,Masters,14.92
31,13,4,Python,Masters,48.21
26,8,8,JavaScript,Masters,29.6
20,2,6,JavaScript,Masters,11.53
25,7,8,JavaScript,Bachelors,27.39
33,15,4,JavaScript,Masters,52.11
24,6,10,Java,Bachelors,27.52
26,8,3,Python,Bachelors,24.76
19,1,5,Java,Bachelors,8.11
26,8,4,JavaScript,Bachelors,25.05
32,14,1,JavaScript,Masters,47.87
19,1,3,Java,Masters,8.5
23,5,8,Java,Masters,19.59
27,9,4,Java,Masters,28.95
19,1,3,Java,Masters,8.07
28,10,3,Python,Bachelors,28.03
25,7,4,Python,Bachelors,24.1
19,1,6,Python,Bachelors,9.45
20,2,10,Java,Masters,15.01
28,10,10,Java,Masters,34.67
29,11,6,Java,Bachelors,45.25
32,14,10,Python,Bachelors,53.58
33,15,8,JavaScript,Masters,55.54
32,14,3,JavaScript,Bachelors,47.79
28,10,10,Python,Masters,34.9
33,15,6,Java,Masters,53.3
32,14,2,JavaScript,Masters,48.21
21,3,6,Python,Masters,15.7
28,10,3,Java,Bachelors,28.08
22,4,9,Python,Masters,19.09
29,11,5,Java,Masters,45.76
30,12,3,Python,Masters,45.69
20,2,8,JavaScript,Bachelors,11.8
18,0,2,JavaScript,Bachelors,4.34
31,13,7,Python,Masters,51.42
18,0,9,Java,Bachelors,10.15
19,1,2,Java,Masters,7.5
28,10,3,Python,Bachelors,28.25
30,12,10,Java,Bachelors,50.11
24,6,7,JavaScript,Masters,26.28
31,13,3,Python,Masters,47.72
31,13,3,Java,Bachelors,46.35
19,1,7,Java,Bachelors,9.56
25,7,7,JavaScript,Masters,27.7
26,8,7,JavaScript,Bachelors,28.18
33,15,8,JavaScript,Bachelors,53.27
26,8,3,Java,Bachelors,25.19
31,13,1,Python,Bachelors,45.03
31,13,6,JavaScript,Bachelors,48.24
32,14,7,Python,Bachelors,51.76
26,8,3,Java,Bachelors,25.09
20,2,2,Java,Bachelors,7.17
33,15,10,Java,Bachelors,55.37
23,5,6,Python,Masters,18.25
23,5,6,Java,Bachelors,16.38
32,14,9,Python,Masters,54.51
32,14,10,Python,Masters,54.82
33,15,1,Java,Bachelors,47.63
31,13,3,Python,Masters,48.22
19,1,4,Python,Bachelors,8.15
23,5,10,Python,Masters,20.68
31,13,8,Java,Masters,51.87
29,11,1,Java,Masters,42.09
21,3,7,Python,Masters,16.14
28,10,5,Python,Masters,30.57
24,6,4,JavaScript,Masters,24.17
21,3,2,Java,Masters,12.15
28,10,4,Python,Masters,30.1
20,2,10,Python,Bachelors,13.29
24,6,5,Python,Bachelors,23.88
31,13,6,Java,Masters,50.32
23,5,10,JavaScript,Masters,20.85
32,14,10,Python,Bachelors,53.93
26,8,5,Java,Bachelors,26.16
24,6,3,JavaScript,Masters,22.78
31,13,3,Python,Masters,47.95
33,15,3,Java,Masters,50.93
31,13,1,Python,Bachelors,44.65
19,1,9,Python,Bachelors,11.8
33,15,2,Java,Masters,50.24
33,15,7,JavaScript,Bachelors,52.52
23,5,5,Python,Bachelors,15.54
30,12,9,Java,Masters,50.25
27,9,9,Java,Bachelors,30.66
27,9,3,JavaScript,Masters,27.54
22,4,7,Python,Bachelors,16.14
33,15,3,JavaScript,Bachelors,49.33
23,5,9,JavaScript,Bachelors,18.2
25,7,4,Java,Masters,25.23
30,12,5,JavaScript,Bachelors,46.04
23,5,10,JavaScript,Masters,20.84
30,12,1,Java,Bachelors,42.53
29,11,7,Java,Masters,47.64
26,8,8,Python,Bachelors,29.09
28,10,7,JavaScript,Bachelors,31.08
29,11,2,JavaScript,Bachelors,41.94
20,2,9,Python,Masters,13.84
27,9,3,Python,Masters,27.99
30,12,1,JavaScript,Masters,43.66
23,5,6,Java,Masters,17.31
20,2,5,Java,Bachelors,9.33
19,1,10,Java,Bachelors,12.65
24,6,8,Java,Bachelors,25.77
22,4,2,Java,Masters,13.42
31,13,8,Java,Bachelors,50.37
25,7,10,Python,Masters,30.94
18,0,10,Java,Bachelors,10.95
28,10,3,Python,Masters,29.35
26,8,3,Java,Masters,25.93
33,15,7,Python,Bachelors,53.19
26,8,3,Java,Bachelors,24.23
27,9,10,Python,Bachelors,32.31
26,8,6,JavaScript,Bachelors,27.25
30,12,1,Java,Masters,43.79
26,8,8,Java,Masters,30.1
22,4,7,Python,Masters,17.88
24,6,10,Python,Bachelors,27.0
18,0,10,Python,Bachelors,11.98
33,15,6,Python,Masters,53.9
22,4,1,Python,Masters,12.12
18,0,1,JavaScript,Bachelors,3.89
24,6,9,JavaScript,Bachelors,26.34
27,9,3,JavaScript,Masters,27.4
27,9,5,Java,Bachelors,27.55
20,2,1,JavaScript,Masters,7.96
19,1,9,Java,Bachelors,11.17
18,0,9,JavaScript,Bachelors,9.91
27,9,4,Java,Masters,28.79
32,14,1,Python,Bachelors,46.25
31,13,6,JavaScript,Bachelors,48.52
31,13,2,JavaScript,Masters,46.96
26,8,9,Python,Bachelors,30.18
23,5,3,Java,Masters,15.48
27,9,9,JavaScript,Bachelors,30.61
22,4,3,Python,Masters,14.08
29,11,6,JavaScript,Masters,46.04
28,10,2,Python,Masters,28.22
21,3,1,Java,Bachelors,9.87
31,13,6,Python,Masters,50.47
30,12,8,Java,Bachelors,48.11
18,0,6,JavaScript,Bachelors,8.48
24,6,6,Python,Masters,26.3
31,13,10,Java,Masters,52.96
20,2,9,JavaScript,Masters,13.53
19,1,5,JavaScript,Masters,9.29
22,4,7,JavaScript,Bachelors,15.19
27,9,1,JavaScript,Masters,25.89
25,7,9,Python,Bachelors,28.34
29,11,9,Java,Bachelors,47.25
32,14,8,Python,Masters,54.0
20,2,10,JavaScript,Masters,14.74
30,12,2,Python,Bachelors,43.51
30,12,2,Python,Masters,45.35
31,13,6,Python,Masters,50.06
20,2,2,JavaScript,Bachelors,6.32
21,3,6,Java,Masters,15.55
28,10,2,JavaScript,Masters,28.69
22,4,4,Java,Bachelors,13.3
25,7,6,Java,Masters,26.67
23,5,8,Python,Masters,19.68
31,13,8,Java,Masters,52.07
18,0,9,JavaScript,Bachelors,10.63
18,0,5,JavaScript,Masters,8.63
24,6,3,JavaScript,Bachelors,21.68
22,4,3,Python,Bachelors,12.29
28,10,8,Java,Masters,33.45
30,12,6,JavaScript,Masters,47.62
19,1,4,Python,Bachelors,7.93
22,4,6,Java,Masters,16.02
20,2,9,Java,Bachelors,12.29
31,13,1,Python,Bachelors,44.75
33,15,5,Python,Masters,52.81
29,11,2,JavaScript,Bachelors,41.13
28,10,2,Python,Masters,28.48
32,14,8,JavaScript,Masters,53.73
23,5,6,JavaScript,Bachelors,15.65
21,3,7,JavaScript,Masters,15.95
23,5,6,Python,Masters,17.61
33,15,3,JavaScript,Masters,51.3
26,8,7,JavaScript,Masters,29.06
30,12,3,Java,Bachelors,44.43
32,14,3,JavaScript,Masters,48.99
26,8,8,Python,Bachelors,28.6
22,4,2,Python,Bachelors,11.96
18,0,10,Java,Bachelors,11.42
33,15,6,JavaScript,Bachelors,51.61
23,5,8,JavaScript,Bachelors,18.07
19,1,9,JavaScript,Masters,12.89
25,7,5,JavaScript,Bachelors,24.4
28,10,6,Python,Masters,31.77
27,9,3,JavaScript,Masters,27.45
26,8,5,JavaScript,Masters,27.86
28,10,3,Java,Masters,28.86
21,3,5,Java,Bachelors,12.97
30,12,7,Python,Bachelors,48.09
19,1,4,Java,Bachelors,7.13
33,15,5,Python,Masters,52.87
22,4,4,Python,Masters,15.44
33,15,6,JavaScript,Bachelors,52.47
30,12,3,JavaScript,Bachelors,44.03
30,12,7,Java,Masters,49.46
25,7,6,Java,Masters,27.46
23,5,9,JavaScript,Masters,20.15
26,8,6,Python,Masters,28.46
24,6,9,Python,Masters,28.02
24,6,8,JavaScript,Masters,26.87
23,5,8,JavaScript,Bachelors,17.68
20,2,2,Java,Bachelors,6.83
32,14,5,JavaScript,Bachelors,48.96
33,15,9,Java,Masters,55.97
25,7,10,JavaScript,Masters,30.39
19,1,7,Python,Masters,11.93
32,14,7,JavaScript,Bachelors,51.12
30,12,9,Python,Masters,50.58
18,0,9,Python,Bachelors,10.62
27,9,8,Python,Bachelors,30.55
26,8,9,JavaScript,Masters,30.81
29,11,2,Python,Bachelors,41.42
18,0,6,JavaScript,Bachelors,7.97
33,15,6,Python,Masters,53.55
28,10,3,JavaScript,Masters,28.68
27,9,4,JavaScript,Bachelors,27.14
32,14,7,Python,Bachelors,51.79
26,8,1,Java,Masters,24.28
26,8,10,JavaScript,Masters,32.06
23,5,10,Python,Bachelors,19.88
27,9,4,JavaScript,Masters,28.67
28,10,6,JavaScript,Masters,31.21
19,1,4,Java,Bachelors,7.36
30,12,2,Java,Bachelors,43.96
21,3,10,JavaScript,Masters,17.92
31,13,1,Java,Masters,46.45
18,0,9,JavaScript,Masters,11.83
33,15,3,Java,Bachelors,49.88
28,10,8,Python,Masters,33.22
18,0,3,Java,Bachelors,6.08
29,11,8,Java,Masters,48.41
30,12,8,Python,Bachelors,48.77
33,15,4,Java,Masters,51.87
32,14,7,Java,Masters,52.68
27,9,6,Java,Masters,30.03
33,15,7,Java,Masters,54.45
19,1,1,Java,Masters,7.08
20,2,1,JavaScript,Masters,7.15
28,10,10,JavaScript,Bachelors,33.19
27,9,1,Python,Bachelors,25.19
22,4,4,Python,Bachelors,13.27
22,4,3,JavaScript,Masters,13.57
25,7,9,JavaScript,Masters,29.26
24,6,3,JavaScript,Masters,23.39
25,7,7,Java,Masters,27.86
33,15,10,JavaScript,Masters,56.64
27,9,5,Python,Masters,29.01
22,4,7,Python,Masters,17.32
19,1,4,Python,Masters,9.38
19,1,10,Python,Masters,14.35
31,13,3,Java,Bachelors,46.14
27,9,3,Java,Masters,27.29
21,3,3,Python,Bachelors,11.63
32,14,5,Python,Bachelors,49.92
23,5,5,Python,Bachelors,15.69
30,12,8,Java,Masters,50.02
19,1,9,Python,Masters,12.7
26,8,8,JavaScript,Masters,30.13
21,3,6,Python,Masters,15.61
21,3,1,Java,Masters,11.33
19,1,8,Python,Masters,12.45
23,5,4,Python,Masters,16.67
26,8,1,JavaScript,Bachelors,22.7
